"","Company","Address1","City","State","lat","long"
"65","I.David Gordon Associates Inc","845 3Rd Ave Rm 200320","New York","NY",40.756676,-73.97014
"66","Pma Trading Inc.","1714 W Reynolds St","Pontiac","IL",40.87366,-88.64086
"67","Cosmetic Dermatology, Inc.","8798 Nw 15Th Street","Miami","FL",25.787508,-80.33877
"68","Florida Department Of Health","2585 Merchants Row Blvd","Tallahassee","FL",30.392397,-84.22876
"69","Howard Gray","2311 W Nopal Ave","Mesa","AZ",33.3652,-111.88354
"70","Babor Cosmetics America Corporation","580 Village Boulevard","Palm Beach","FL",26.713469,-80.09856
"71","Casa Cuevas Cigars","331 Nw 136Th Ave","Miami","FL",25.770367,-80.41468
"72","Nutrition 21, Llc","1 Manhattanville Rd","Purchase","NY",41.025074,-73.71622
"73","Altoc, Inc","70 Witherspoon St","Princeton","NJ",40.351593,-74.66058
"74","Midtown Roots","2918 N Central Ave","Phoenix","AZ",33.48048,-112.073784
"75","Coastal Mro, Inc.","6202 Presidential Court Suite A","Fort Myers","FL",26.559668,-81.885864
"76","Sosa Family Cigar Center","1502 N Buena Vista Dr","Orlando","FL",28.373295,-81.5132
"77","Strimo","6400 7900 40Th Ave W","Bradenton","FL",27.466396,-82.640564
"78","Jupiter Ear Nose Throat Clinic","210 Jupiter Lakes Blvd Ste 3202","Jupiter","FL",26.921253,-80.09593
"79","Gbmc Healthcare","6701 N Charles St","Towson","MD",39.39459,-76.627686
"80","Jupiter Medical Center, Inc.","1210 S Old Dixie Hwy","Jupiter","FL",26.966036,-80.091736
"81","Marijuanadoctors.Com","88 Sunnyside Blvd","Plainview","NY",40.794014,-73.47067
"82","Lifeextension Com","1100 West Commercial Boulevard","Fort Lauderdale","FL",26.188332,-80.15793
"83","Michigan Pharmacists Association","408 Kalamazoo Plaza","Lansing","MI",42.729397,-84.54825
"84","Bob'S Drugs","194 N Division St","Hesperia","MI",43.56527,-86.039696
"85","Popkess Pharmacy","524 E Don Tyler Ave","Dewey","OK",36.799118,-95.935196
"86","Salveo Capital","180 N Lasalle St #3700","Chicago","IL",41.87954,-87.6323
"87","Emerginc","150 41St St","Brooklyn","NY",40.654785,-74.01278
"88","Champlain Valley Physicians Hospital","89 Plaza Blvd","Plattsburgh","NY",44.69681,-73.49744
"89","Mymatrixx","5706 Benjamin Center Dr","Tampa","FL",28.004612,-82.541214
"90","Florida Department Of Health","2585 Merchants Row Blvd","Tallahassee","FL",30.392397,-84.22876
"91","Ul Llc","333 Pfingsten Rd","Northbrook","IL",42.144997,-87.848274
"92","Medstar Health Inc","4979 J Mercantile Rd","Baltimore","MD",39.37692,-76.454994
"93","Altria Group Distribution Company","1000 Primera Blvd 3Rd Fl","Lake Mary","FL",28.765232,-81.34979
"94","Bodybio Inc.","45 Reese Rd","Millville","NJ",39.366337,-75.006165
"95","Green Bracket Llc","4061 Laguna St","Coral Gables","FL",25.734245,-80.26119
"96","Hench Enterprises Inc.","1340 W High St Ste E","Defiance","OH",41.28994,-84.38322
"97","Beessential","23400 Aurora Rd","Bedford","OH",41.418026,-81.51658
"98","The Holman Group","513 Reynolds Ave","Hagerstown","MD",39.63461,-77.72952
"99","Community Care Physicians Pc","1801 6Th Ave","Troy","NY",42.730965,-73.686516
"100","Ul Llc","333 Pfingsten Rd","Northbrook","IL",42.144997,-87.848274
"101","Cvs Health Corporation","9501 E Shea Blvd","Scottsdale","AZ",33.58253,-111.8761
"102","Lonza Inc","90 Boroline Road","Allendale","NJ",41.038017,-74.11483
"103","Vitals Com","1200 Wall St West Floor 1","Lyndhurst","NJ",40.80551,-74.10258
"104","Humana Inc","3400 Lakeside Dr","Miramar","FL",25.974953,-80.34445
"105","American Association For Laboratory Accreditation (A2La)","5202 Presidents Court, Suite 220","Frederick","MD",39.377476,-77.416824
"106","Salveo Capital","180 N Lasalle St #3700","Chicago","IL",41.87954,-87.6323
"107","Health.Com","2139 Auburn Ave","Cincinnati","OH",39.121143,-84.508514
"108","Brevard County Ofc Emer Mgmt","1746 Cedar St","Rockledge","FL",28.327526,-80.73797
"109","Ieso, Llc","3235 New Era Rd","Murphysboro","IL",37.771374,-89.24557
"110","The Wellness Institute Pc","734 Broadway","Bayonne","NJ",40.672195,-74.111275
"111","New Avon Llc","1 Liberty Plz Fl 25","New York","NY",40.708797,-74.00961
"112","The Harvard Drug, Group. Llc","31778 Enterprise Drive","Livonia","MI",42.369648,-83.35751
"113","Lori'S Natural Food Center Inc","900 Jefferson Rd Ste 105","Rochester","NY",43.136368,-77.62892
"114","Novo Nordisk Inc.","100 College Road West","Princeton","NJ",40.341694,-74.66631
"115","Omi Industries","18-6 E Dundee Rd # 101","Barrington","IL",42.140408,-88.141075
"116","Borroughs Corporation","3002 N Burdick Street","Kalamazoo","MI",42.3207,-85.58386
"117","Carow Packaging, Inc.","7810 Virginia Rd","Crystal Lake","IL",42.216488,-88.31599
"118","Cigar.Com, Inc.","28401 Ballard Dr","Lake Forest","IL",42.275387,-87.89963
"119","Cosmic Sister","13910 Fivay Rd Ste 10","Hudson","FL",28.358963,-82.688156
"120","Cannabics Pharmaceuticals Inc.","3 Bethesda Metro Centre,","Bethesda","MD",38.984077,-77.094505
"121","Dizpot","2430 W Mission Ln Suite 6","Phoenix","AZ",33.56918,-112.11096
"122","Curaleaf Inc","3811 Tyrone Blvd N","Saint Petersburg","FL",27.806353,-82.74952
"123","Christie Clinic","101 West University Avenue","Champaign","IL",40.1163,-88.24365
"124","State Farm Insurance","1 State Farm Plaza","Bloomington","IL",40.47621,-88.955505
"125","Adams Apple, Inc.","6229 N California Ave","Chicago","IL",41.780502,-87.69343
"126","Jinny Beauty Supply","3505 N Kimball Ave","Chicago","IL",41.943874,-87.71262
"127","Eircom","1101 Grove St Apt 7A","Evanston","IL",42.04562,-87.68694
"128","Finance Department","1660 Ringling Blvd 4","Sarasota","FL",27.334942,-82.537384
"129","Catalent Pharma Solutions, Inc.","14 Schoolhouse Rd","Somerset","NJ",40.528515,-74.55291
"130","King Pharmacy & Compounding Llc","31201 Us Highway 19 N","Palm Harbor","FL",28.055157,-82.738846
"131","Levelup","22870 Huron River Drive","Rockwood","MI",42.071938,-83.25461
"132","Lehi Valley Trading Company","4955 E. Mckellips Road","Mesa","AZ",33.451843,-111.724365
"133","Green Desert Patient Center Of Peoria, Inc.","9275 W Peoria Ave Ste 3","Peoria","AZ",33.580776,-112.25714
"134","True Value Hardware Stores","8600 West Bryn Mawr Avenue","Chicago","IL",41.98102,-87.8417
"135","Buderer Drug Company, Inc.","26611 Dixie Hwy Ste 119","Perrysburg","OH",41.540752,-83.634605
"136","Value Drug Of Allegan Inc","100 Monroe St Ste 2","Allegan","MI",42.53045,-85.8494
"137","Nutrascience Labs, Inc.","70 Carolyn Blvd","Farmingdale","NY",40.717415,-73.42178
"138","Smokey Mountain Snuff","2175 S 74Th East Ave","Tulsa","OK",36.131588,-95.89457
"139","Loris Natural Food Center Inc","900 Jefferson Rd Ste 105","Rochester","NY",43.136368,-77.62892
"140","Agrolabs, Inc.","225 Long Avenue","Hillside","NJ",40.697384,-74.22921
"141","Star Micronics America, Inc.","65 Clyde Rd Ste G","Somerset","NJ",40.485367,-74.511505
"142","Nick'S Cigar Company Inc","5150 Nw 167Th St","Hialeah","FL",25.924925,-80.2842
"143","Harry Smooth Tobacco Shop Llc","221 S Hopkins Ave","Titusville","FL",28.61331,-80.8083
"144","Smoker'S Haven","952 State Route 34 Ste 3","Matawan","NJ",40.40719,-74.23441
"145","Federation Transportation Services Inc","9901 Donna Klein Blvd Bldg 2","Boca Raton","FL",26.35841,-80.19522
"146","United Services Automobile Association","17200 Commerce Park Blvd","Tampa","FL",28.126673,-82.38314
"147","Curio Wellness","2060 York Rd","Lutherville","MD",39.43891,-76.625534
"148","Arizona Organix","5301 W Glendale Ave","Glendale","AZ",33.538498,-112.17303
"149","Vitals Medical","160 Chubb Ave Suite 301","Lyndhurst","NJ",40.803944,-74.09754
"150","King'S Pharmacy, L.L.C.","4700 Schaefer Rd Ste 162","Dearborn","MI",42.32176,-83.17593
"151","Bowman & Brooke","2901 North Central Avenue","Phoenix","AZ",33.480328,-112.07377
"152","Peter Pharmacy","1431 Orange Camp Rd Ste 102","Deland","FL",28.98468,-81.26629
"153","Tobacco Technology, Inc.","600 Liberty Rd","Sykesville","MD",39.41138,-76.97566
"154","Amico Educational Concepts, Inc.","4731 136Th St","Crestwood","IL",41.644966,-87.73608
"155","Gar Wood Securities, Llc","4355 Weaver Pkwy","Warrenville","IL",41.802296,-88.164154
"156","Capital Health System","750 Brunswick Ave","Trenton","NJ",40.236065,-74.75274
"157","Mclaren Port Huron","1221 Pine Grove Ave","Port Huron","MI",42.98686,-82.427956
"158","Japan Tobacco International U.S.A., Inc.","500 Frank W Burr Blvd Ste 24","Teaneck","NJ",40.87237,-74.00674
"159","Larry Dye","1135 Oakleaf Rd","Sardinia","OH",39.024746,-83.83398
"160","Levelup Inc.","22870 Huron River Drive","Rockwood","MI",42.071938,-83.25461
"161","Healthier Choices Management Corp.","3800 N 28Th Way 1","Hollywood","FL",26.043558,-80.16458
"162","Integris Southwest Medical Center","4401 S Western Ave","Oklahoma City","OK",35.42067,-97.530235
"163","Fragomen, Del Rey, Bernsen & Loewy, Llp","7 Hanover Sq Ste 800","New York","NY",40.705513,-74.009056
"164","Beauty Bridge, Inc.","88 Park Ave Ste 1A","Nutley","NJ",40.810905,-74.14353
"165","Kamwo Trading Inc","211 Grand St","New York","NY",40.718937,-73.99618
"166","Florida Department Of Education","325 West Gaines Street Turlington Building Suite 1514","Tallahassee","FL",30.435484,-84.284706
"167","Coastal Mro, Inc.","6202 Presidential Court Suite A","Fort Myers","FL",26.559668,-81.885864
"168","Sunday Goods & The Pharm","110 Boggs Ln Ste 289","Cincinnati","OH",39.284546,-84.470795
"169","Cassens Bait Sporting","821 W Main St","Grafton","IL",38.969734,-90.44483
"170","Sheralven Enterprises, Inc.","150 Executive Dr","Edgewood","NY",40.774227,-73.29209
"171","Nat Sherman Inc.","12 E 42Nd St","New York","NY",40.75328,-73.98043
"172","A. H. Jamra Co.","201 S Saint Clair St","Toledo","OH",41.643696,-83.54225
"173","Drug World Of Cold Spring Llc","55 Chestnut St","Cold Spring","NY",41.4178,-73.95116
"174","Underwriters Laboratories Inc.","333 Pfingsten Rd","Northbrook","IL",42.144997,-87.848274
"175","Nalco Company Llc","1601 W Diehl Rd","Naperville","IL",41.799107,-88.199585
"176","Cuenca Cigars","1928 Harrison St Ste B","Hollywood","FL",26.010513,-80.145615
"177","Lehi Valley Trading Company","4955 E Mckellips Rd","Mesa","AZ",33.451843,-111.724365
"178","Peake Releaf Llc","2001 Chapman Ave","Rockville","MD",39.058674,-77.11897
"179","Buderer Drug Co","26611 Dixie Hwy Ste 119","Perrysburg","OH",41.540752,-83.634605
"180","Harry Smooth Tobacco Shop, Llc.","221 S Hopkins Ave","Titusville","FL",28.61331,-80.8083
"181","Lifeextension Com","1100 West Commercial Boulevard","Fort Lauderdale","FL",26.188332,-80.15793
"182","Gridiron Bionutrients, Inc.","6991 East Camelback Rd, Suite D-300","Scottsdale","AZ",33.50219,-111.93092
"183","Saigon Deli","13073 Wisteria Dr","Germantown","MD",39.178104,-77.272125
"184","Acosta, Inc.","6600 Corporate Center Pkwy","Jacksonville","FL",30.254341,-81.59613
"185","Van Andel Institute","333 Bostwick Ave Ne","Grand Rapids","MI",42.96943,-85.66649
"186","Iba Molecular North America, Inc.","110 Clyde Rd","Somerset","NJ",40.48276,-74.51404
"187","Aroma Tech, Inc.","130 Industrial Pkwy","Branchburg","NJ",40.598476,-74.70958
"188","Greenhouse Ventures Llc","700 John Ringling Blvd","Sarasota","FL",27.319866,-82.57434
"189","Now Foods, Inc.","244 Knollwood Drive, Suite 300","Bloomingdale","IL",41.94258,-88.11535
"190","Demeter Fragrance Library","12 N Gate Rd","Great Neck","NY",40.805412,-73.72174
"191","Altpharm Llc","4710 Auth Pl","Suitland","MD",38.82437,-76.92002
"192","Mig Vapor","4100 N Powerline Rd Ste A5","Pompano Beach","FL",26.279463,-80.15215
"193","Ogilvy & Mather Worldwide","636 11Th Avenue","New York","NY",40.763687,-73.99622
"194","Green Wave Inc","816 Stratford Manor Ter","Silver Spring","MD",39.09042,-77.021355
"195","Novo Nordisk Inc.","100 College Road West","Princeton","NJ",40.341694,-74.66631
"196","Berrien County Health Department","756 Pipestone St","Benton Harbor","MI",42.10385,-86.44278
"197","Capital Health System Inc","446 Bellevue Avenue","Trenton","NJ",40.229572,-74.777245
"198","Global Biomedical Inc","110 N Armenia Ave Ste B","Tampa","FL",27.944532,-82.485054
"199","The Digivac Company","746 State Route 34 Ste 3","Matawan","NJ",40.415577,-74.24651
"200","Surterra Wellness","28520 Bnita Crssings Blvd","Bonita Springs","FL",26.32312,-81.80418
"201","Dania Discount Drugs, Inc.","16 S Federal Hwy","Dania","FL",26.052671,-80.14368
"202","Evanston Hospital","2650 Ridge Ave","Evanston","IL",42.064735,-87.68341
"203","Rohe Pharmacy Inc","4047 Harrison Ave","Cincinnati","OH",39.157578,-84.61658
"204","Huntington Humidor","8 New St","Huntington","NY",40.8707,-73.42734
"205","Sheralven Enterprises Ltd.","150 Executive Dr","Edgewood","NY",40.774227,-73.29209
"206","Smokin Joes","4303 State Rd","Vermilion","OH",41.368774,-82.363464
"207","Straight Hemp","24600 Hallwood Ct","Farmington Hills","MI",42.472427,-83.41786
"208","Maddcatt Vapors","13 E Oak Ridge Dr","Hagerstown","MD",39.612312,-77.730255
"209","Byrd-Watson South 9Th Drug Company","1200 Main Street","Mount Vernon","IL",38.317524,-88.906105
"210","Trane","5005 Corporate Exchange Blvd Se","Grand Rapids","MI",42.86411,-85.54319
"211","Spartannash Company","850 76Th St Sw","Byron Center","MI",42.826405,-85.68549
"212","Florida Cancer Specialists","9776 Bonita Beach Rd Se # 102","Bonita Springs","FL",26.330961,-81.79206
"213","Demand Vape","2225 Kenmore Ave Ste 1110","Buffalo","NY",42.964493,-78.89617
"214","Muldrow Pharmacy Inc","710 E Shawntel Smith Blvd Ste A","Muldrow","OK",35.40314,-94.59173
"215","D & N Corporation","314 Main St","Orange","NJ",40.77248,-74.23027
"216","Naturesmedicines.Com","111 Executive Blvd","Farmingdale","NY",40.72102,-73.429436
"217","Walgreens Boots Alliance Inc","108 Wilmot Rd","Deerfield","IL",42.156742,-87.86737
"218","Medline","1170 S Northpoint Blvd","Waukegan","IL",42.337467,-87.88743
"219","Dabs","189 7Th St Nw","Huron","SD",44.374268,-98.21688
"220","Mclaren Lapeer Regional Hospit","401 S Ballenger Hwy","Flint","MI",43.014496,-83.73351
"221","Battelle Memorial Institute Inc","505 King Ave","Columbus","OH",39.990616,-83.01885
"222","Mdx Medical, Inc.","210 Clay Ave","Lyndhurst","NJ",40.80455,-74.10177
"223","Essence Corp.","1221 Brickell Ave Ste 2100","Miami","FL",25.761925,-80.19181
"224","Primero, Inc.","1 Paul Kohner Pl","Elmwood Park","NJ",40.901276,-74.11113
"225","Mdx Medical, Inc.","1200 Wall St W","Lyndhurst","NJ",40.80551,-74.10258
"226","Family Drug Shops Inc","19 Main St","Branchville","NJ",41.14667,-74.75327
"227","Farmhouse Fresh Goods","125 Moen Avenue","Cranford","NJ",40.644394,-74.284325
"228","Arizona Natural Selections","9275 W Peoria Ave","Peoria","AZ",33.580776,-112.25714
"229","Sun Valley Campsites, Llc.","10740 Poags Hole Rd","Arkport","NY",42.46323,-77.733215
"230","Empire Bluecross Blueshield","1 Liberty Plaza One","New York","NY",40.708797,-74.00961
"231","Redbud Roots Lab I Llc","215 Post Rd","Buchanan","MI",41.82563,-86.38127
"232","Redbud Roots Lab I Llc","215 Post Rd","Buchanan","MI",41.82563,-86.38127
"233","Cigar Box","409 Stone Wood Dr","Broken Arrow","OK",36.074528,-95.7952
"234","Carow International, Inc.","7810 Virginia Rd","Crystal Lake","IL",42.216488,-88.31599
"235","Mymatrixx-B, Llc","3111 W Dr Martin Luther King Jr Blvd Ste 800","Tampa","FL",27.981485,-82.42533
"236","Hypur Inc.","7812 E Acoma Dr #7","Scottsdale","AZ",33.617756,-111.91137
"237","Animals Apawthecary","1369 Us Highway 93 N Stop 3","Victor","MT",46.344673,-114.14898
"238","Bodybio Inc.","45 Reese Rd","Millville","NJ",39.366337,-75.006165
"239","Novo Nordisk Pharma Sa","100 College Road West","Princeton","NJ",40.341694,-74.66631
"240","Discount Tobacco Products Inc.","1800 W West Maple Rd","Commerce Township","MI",42.54072,-83.45973
"241","Hometown Pharmacy Ltc","1123 S Main St","Chelsea","MI",42.306072,-84.02113
"242","Cigette Vapor Inc.","6 N Elmhurst Rd Ste A","Prospect Heights","IL",42.095486,-87.936775
"243","Arizona Organix","5301 W Glendale Ave","Glendale","AZ",33.538498,-112.17303
"244","Mymatrixx-B, Llc","3111 W Dr Martin Luther King Jr Blvd Ste 800","Tampa","FL",27.981485,-82.42533
"245","Central Lake Pharmacy Inc","2424 N Main St","Central Lake","MI",45.070805,-85.264114
"246","Acariahealth","6923 Lee Vista Blvd","Orlando","FL",28.466124,-81.28778
"247","House Of Cigar","9697 Sawmill Rd","Powell","OH",40.157383,-83.08845
"248","Spectrum Health","100 Michigan St Ne","Grand Rapids","MI",42.970505,-85.66637
"249","Healthwarehousecom Inc","100 Commerce Blvd","Loveland","OH",39.284454,-84.3025
"250","Viacom Inc.","1515 Broadway","New York","NY",40.75753,-73.985725
"251","Hotvapes Ltd","7240 N Milwaukee Ave","Niles","IL",42.01268,-87.80201
"252","The Rad Soap Co Llc","8 Wolfert Ave","Albany","NY",42.67794,-73.737366
"253","Infinity Farms","2761 Nw 82Nd Avenue","Doral","FL",25.798815,-80.32902
"254","Kraupner Pharmacy, Inc.","457 Knickerbocker Ave","Brooklyn","NY",40.69896,-73.9186
"255","Bell Flavors & Fragrances, Inc.","500 Academy Dr","Northbrook","IL",42.14448,-87.85683
"256","Novo Nordisk Inc.","100 College Road West","Princeton","NJ",40.341694,-74.66631
"257","Helping Hand The","28835 N Herky Dr","Lake Bluff","IL",42.280518,-87.90412
"258","Capital Health System, Inc.","446 Bellevue Avenue","Trenton","NJ",40.229572,-74.777245
"259","Hci Alternatives","628 E Adams St","Springfield","IL",39.800552,-89.647446
"260","H-Care Nursing Services Inc","4433 Miller Rd","Flint","MI",42.97786,-83.766785
"261","Town & Country Compounding And Consultation Services L.L.C.","106 Prospect St Ste 2","Ridgewood","NJ",40.977715,-74.11854
"262","Northshore University Health System","2650 Ridge Ave","Evanston","IL",42.064735,-87.68341
"263","Natur-Tyme","5898 Bridge St","East Syracuse","NY",43.056072,-76.066696
"264","Gbmc Healthcare","6701 N Charles St","Baltimore","MD",39.394913,-76.627464
"265","Ehardt'S Pharmacy Incorporated","4436 Main St","Brown City","MI",43.21203,-82.99559
"266","Novo Nordisk Pharma Sa","100 College Road West","Princeton","NJ",40.341694,-74.66631
"267","Stribling Drug Store","430 E Beacon St","Philadelphia","MS",32.771698,-89.10775
"268","Automatic Data Processing, Inc.","1 Adp Blvd","Roseland","NJ",40.8165,-74.30418
"269","Nxxi Sub Llc","1 Manhattanville Rd Ste 104","Purchase","NY",41.025074,-73.71622
"270","Ion Labs, Inc.","8031 114Th Ave Ste 4000","Largo","FL",27.875938,-82.74516
"271","Vitacost.Com Inc.","5400 Broken Sound Blvd., Nw","Boca Raton","FL",26.395824,-80.112564
"272","Tobacco Technology, Inc.","600 Liberty Rd","Sykesville","MD",39.41138,-76.97566
"273","Smoking Vapor Corp Llc","4908 E Mcdowell Rd Ste 100","Phoenix","AZ",33.46563,-111.97536
"274","Integrity Pharmacy Serv.","2100 Tall Pines Dr","Largo","FL",27.898989,-82.75654
"275","Orange Cnty Code Enforcement","2450 33Rd St","Orlando","FL",28.508696,-81.41554
"276","Capital Health Regional Medical Center","750 Brunswick Ave","Trenton","NJ",40.236065,-74.75274
"277","Pharmacy Automation Supplies","10210 Werch Dr","Woodridge","IL",41.698532,-88.02494
"278","Cigar.Com, Inc.","28401 Ballard Dr","Lake Forest","IL",42.275387,-87.89963
"279","Alfors Apothecary Inc","1572 Route 206","Vincentown","NJ",39.859375,-74.73326
"280","Selzler Pharmacy, Inc.","405 Desmet Ave","Harvey","ND",47.772415,-99.926285
"281","Hylan Medicine Cabinet, Inc.","1988 Hylan Blvd","Staten Island","NY",40.58136,-74.09828
"282","Chem Rx Corp","750 Park Place","Long Beach","NY",40.59337,-73.661224
"283","Breakwater Alternative Treatment Center","2 Corporate Dr Ste E","Cranbury","NJ",40.334743,-74.48811
"284","Bonaventure Equity, Llc","1250 Elizabeth Ave","West Palm Beach","FL",26.699135,-80.06412
"285","Honeywell International Inc.","101 Columbia Rd","Morristown","NJ",40.794666,-74.4471
"286","Foshay Cancer Ctr","1240 S Old Dixie Hwy","Jupiter","FL",26.966251,-80.091835
"287","Capri Management Inc","30445 Northwestern Hwy Ste 370","Farmington Hills","MI",42.51059,-83.32642
"288","Common Citizen","310 S Averill Ave","Flint","MI",43.02246,-83.64449
"289","Evergreen Pharmacy Inc","20010 W Warren Ave","Detroit","MI",42.34313,-83.235596
"290","Healthy Partners","2740 Eastern Ave Se Ste 4","Grand Rapids","MI",42.913715,-85.64713
"291","Remedi Seniorcare Of Ohio Llc","9006 Yellow Brick Rd Ste F","Baltimore","MD",39.34132,-76.47767
"292","Smoke Scene Inc","786 9Th Ave Frnt B","New York","NY",40.764915,-73.98789
"293","H-Care Hurley Binson Medical","5641 Bay Rd","Saginaw","MI",43.48901,-83.9742
"294","Jupiter Medical Center","1210 South Old Dixie Highway","Jupiter","FL",26.92424,-80.09448
"295","Seward & Kissel Llp","1 Battery Park Plaza","New York","NY",40.704586,-74.01432
"296","Vitals","160 Chubb Ave Suite 301","Lyndhurst","NJ",40.803944,-74.09754
